"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50";"51";"52";"53";"54";"55";"56";"57";"58";"59";"60";"61";"62";"63";"64";"65"
"NUESTRA SEÑORA DE LOS ANGELES";"103156";"NUESTRA SEÑORA DE LOS ANGELES";"3";"MISLATA";"1";"PL.CONSTITUCION,10";"21";"46920";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"219";
"SAN CARLOS BORROMEO";"103157";"SAN CARLOS BORROMEO";"3";"MISLATA";"1";"XIRIVELLA,24";"21";"46920";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"219";
"SAN MARCOS EVANGELISTA";"103158";"SAN MARCOS EVANGELISTA";"3";"MISLATA";"1";"REGATXO,11";"21";"46920";"963833194";;;"4";"6";"10";;;;"MIERCOLES DE 18 A 20H";"67";"88";"80";"75";"27";"454";"211";;;;;;"1";"2400";"1900";"3990";"250";;;;;;;;;"8540";"1725";;"3645";;;;;;;"250";;;;;;"5620";;"1";"219";"2013"
"NUESTRA SEÑORA DE LA FUENSANTA";"103159";"NUESTRA SEÑORA DE LA FUENSANTA";"3";"VALENCIA";"1";"PL.MURCIA,1";"21";"46014";"963790619";;;"3";"2";;;;;"MIERCOLES DE 17,30 A 19,30H";"3";"57";"14";"46";"33";"208";"40";;;;;;;;;"750";;;;;;;;;"1030";"1780";"1183";;;"5";"77";"210";;;"38";;;;;"163";"37";"1713";;"1";"219";"2013"
"SANTISIMO CRISTO DE LA LUZ";"103160";"SANTISIMO CRISTO DE LA LUZ";"3";"VALENCIA- XIRIVELLA";"1";"P.Antonio Machado,2";"8";"46014";"963793372";"PARROQUIA@CRISTODELALUZ.JAZTEL.ES";;;"7";"7";;;;"JUEVES Y VIERNES DE 18 A 20H";"14";"56";"39";"31";"30";"208";"121";"10";"1";;"1";;;"1050";"1000";"771";"569";;;;;"5000";;;;"8390";"1855";"1478";"404";"33";"210";"43";"22";"235";"475";;;;;;;"4755";;"1";"219";"2013"
"SAN FRANCISCO DE ASIS";"103161";"SAN FRANCISCO DE ASIS";"3";"MISLATA";"1";"AV.BLASCO IBAÑEZ,75";"21";"46920";"963834118";"FECAROS@GMAIL.COM";;"2";"5";"7";;;"1";"JUEVES DE 17,30 A 18,30H";"21";"98";"85";"34";"45";"335";"167";"2";"1";;;;;"624";;"4301";"750";;"600";"4228";;;;;"1240";"11743";"1849";;"4807";;"1530";"350";;;;"300";;;;;"1240";"10076";;"1";"219";"2013"
"SAN MIGUEL DE SOTERNES";"103162";"SAN MIGUEL DE SOTERNES";"3";"MISLATA";"1";"CAMI VELL DE XIRIVELLA.7";"21";"46920";"96373426+6";"DONJECE@HOTMAIL.COM";;"6";"7";"13";"5";;"1";"JUEVES DE 17 A 19H";"97";"254";"217";"134";"108";"1054";"600";"19";"1";"1";;;"1";"3242";"3519";"2608";"400";"10000";;;;;"500";;;"20269";"11084";"2478";"1932";"1060";;"1510";;;;"400";;"150";"1000";"500";;"20114";;"1";"219";"2013"
"NUESTRA SEÑORA DE LOS ANGELES";"313163";"NUESTRA SEÑORA DE LOS ANGELES";"13";"ALBAL";"3";"IGLESIA,9";"9";"46470";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"219";
"SAN CARLOS BORROMEO";"313164";"SAN CARLOS BORROMEO";"13";"ALBAL";"3";"PRIMO DE RIVERA,S/N";"9";"46470";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"219";
"NUESTRA SEÑORA DEL DON";"313165";"NUESTRA SEÑORA DEL DON";"13";"ALFAFAR";"3";"JOSE MARIA JULIAN,2";"9";"46910";"963751269";"PARROQUIADELDON@HOTMAIL.COM";;"6";"10";"16";"2";;"4";"LUNES Y VIERNES DE 17 A 20H";"18";"95";"28";"58";"113";"615";"235";;;"1";;;;;"1256";"8168";"500";;"2500";;;;;;"2668";"15092";"2965";"7373";;"744";;;;;;"500";;;"1900";;"1630";"15112";;;"219";"2013"
"SANTA FE";"313166";"SANTA FE";"13";"ALFAFAR - PARQUE ALCOSA";"3";"PL.MIGUEL HERNANDEZ,7";"9";"46910";"963753597";"PARROQUIASANTAFE@GMAIL.COM";;"2";"5";"7";;"2";;"MARTES DE 17 A 19H";"30";"72";"39";"63";"36";"392";"59";"4";"1";;;;"1";"5342";"2200";"4925";;;;;;;;;"2050";"14517";"828";"12475";;"420";;"256";;;"65";"425";;;;;;"14469";;;"219";"2013"
"NUESTRA SEÑORA DEL SOCORRO";"313167";"NUESTRA SEÑORA DEL SOCORRO";"13";"BENETUSER";"3";"CERVANTES 66";"9";"46910";"963751645";"PNSSOCORRO@TELEFONICA.NET";;"4";"11";"15";;;"7";"MIERCOLES DE 18 A 20H";"21";"82";"28";"75";"41";"283";"70";;;;;"1";"1";"5104";"8728";"2220";;;"2500";;;;"1000";;;"19552";"475";"12467";;"926";;"2463";;;;;;;;;;"16331";;;"219";"2013"
"SANTA BARBARA";"313168";"SANTA BARBARA";"13";"BENIPARRELL";"3";"PL.BARON DE BENIPERRELL,S/N.";"9";"46469";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"219";
"MARIA MADRE DE LA IGLESIA";"313169";"MARIA MADRE DE LA IGLESIA";"13";"CATARROJA";"3";"BENETUSER,3";"9";"45470";"961261205";;;"5";"6";"11";;;"3";"JUEVES QUINCENAL DE 17 A 19H";"15";"69";"39";"44";"25";"324";"109";;;;;"1";"1";"1987";"390";"2161";"280";;"3000";;;"500";"400";"1000";"5663";"15381";"1142";"11569";;"462";"189";;;;"451";"280";;;;;"562";"14655";;;"219";"2013"
"NUESTRA SEÑORA DEL PILAR";"313170";"NUESTRA SEÑORA DEL PILAR";"13";"CATARROJA";"3";"DOLOROSA,2";"9";"46470";"606467279";;;"5";"11";"16";;;"2";"JUEVES ALTERNOS DE 17 A 20H";"30";"141";"108";"63";"19";"496";"163";"3";;;;;"1";"3081";"1080";"11250";"870";;;;;;;;"5046";"21327";"3903";"14918";;"645";;"2282";;;"100";"870";;;;;;"22718";;;"219";"2013"
"SAN ANTONIO DE PADUA";"313171";"SAN ANTONIO DE PADUA";"13";"CATARROJA";"3";"RAMON Y CAJAL,2";"9";"46470";"961260378";;;"4";"8";"12";;;;"MIERCOLES DE 17 A 20H";"57";"63";"56";"58";"17";"270";"71";;;;;;;"1500";"1595";"9350";"1460";;"890";;;"400";;;"7010";"22205";"1394";"9784";;"47";"552";"2673";"500";;"110";;;"1500";;"300";"3850";"20710";;;"219";"2013"
"SAN MIGUEL ARCANGEL";"313172";"SAN MIGUEL ARCANGEL";"13";"CATARROJA";"3";"LONGETA,3";"9";"46470";"961260379";;;"2";"13";"15";;;"4";"MARTES ALTERNOS DE 18 A 20H";"12";"46";"14";"44";"58";"610";;;;;;;;"225";"547";"4832";"269";;"3000";;;;;;"5056";"13929";"673";"12716";;;"646";"250";;;"66";;;;;;;"14351";;;"219";"2013"
"SAN PEDRO APOSTOL";"313174";"SAN PEDRO APOSTOL";"13";"MASSANASSA";"3";"ANTIGUO REINO DE VALENCIA,1";"9";"46470";"961250388/601287616";"PARROQUIASANPEDROAPOSTOLMASSANASSA@HOTMAIL.COM";;;"15";;;"1";;"LOS MARTES DE 16,30 A 20H. 1º MIERCOLES DE MES DE 16,30 A 20H";"33";"79";"129";"208";"190";"337";"118";"3";;;;;;"5204";;"19915";"464";;;;;"9000";"328";;;"34911";"2537";"19575";;"100";"122";;;;;"301";;;;;"402";"23037";;;"219";"2013"
"NUESTRA SEÑORA DEL ROSARIO";"313175";"NUESTRA SEÑORA DEL ROSARIO";"13";"SEDAVI";"3";"JCERVANTES,10";"9";"46910";"963750620";;;"1";"5";"6";;;"1";"LUNES DE 18,30 A 20,30H";"23";"79";"65";"37";"38";"289";"65";"2";;;;;;;;"4408";"600";;"1400";"7119";;;;;;"13527";"4873";"176";;"298";"243";;"207";;;"600";;;;;"7119";"13516";;;"219";"2013"
"NUESTRA SEÑORA DE LOS ANGELES";"313176";"NUESTRA SEÑORA DE LOS ANGELES";"13";"SILLA";"3";"PL.DEL POBLE 2";"9";"46460";"961201538";"SANTOSJUANESVICENTE@HOTMAIL.COM";;;"8";"8";;;;"TODOS LOS MiERCOLES";"10";"12";"5";"27";;"208";"55";;;;;;"1";"4682";"1903";"1520";"200";;"3000";"2580";;"1600";"1200";;"1324";"18009";"1475";"11126";;"85";"2580";"175";;;"150";"200";;;;;"850";"16641";;;"219";"2013"
"SAN JOSE OBRERO";"313177";"SAN JOSE OBRERO";"13";"SILLA";"3";"HERNANCORTES 145-B";"9";"46460";;;;"4";"4";"8";;;;"1º SABADO DE MES DE 16,30 A 19H";"65";"108";"73";"100";"60";"395";"112";;"1";;"1";;;;;"280";"93";"185";"1000";;;;;;;"1558";"345";"1100";;"50";;"40";;;;"23";;;;;;"1558";;;"219";"2013"
"SAN ROQUE";"313178";"SAN ROQUE";"13";"SILLA";"3";"HERMANOS ANTICH,S/N.";"9";"46460";"961200827";;;"6";"19";"25";"2";;;"1º VIERNES DE MES
2º JUEVES DE MES 
3º MIERCOLES DE MES";"12";"54";"17";"49";;"196";"52";;;;;"1";;"1407";;"7295";"409";;;"3740";;"5350";"2000";;;"20201";"2000";"7700";"14405";;"3740";"285";"230";;"150";"154";"412";;;;;"29076";;;"219";"2013"
"CRISTO DEL CAMINO";"104180";"CRISTO DEL CAMINO";"4";"VALENCIA";"1";"GABRIEL Y GALAN,11";"21";"46017";"963772179";"CARITASCRISTOCAMINO@LIVE.COM";;"7";"9";"16";;;"2";"JUEVES DE 17,30 A 19,30H";"19";"53";"48";"24";"34";"281";"16";"4";;;;;;;"1128";"379";;;"220";"702";"4000";;"800";"1860";"270";"9359";"1679";"80";"6276";"23";"386";"61";;;"940";;;;;;"469";"9914";;;"219";"2013"
"CRISTO DE LA PROVIDENCIA";"104181";"CRISTO DE LA PROVIDENCIA";"4";"VALENCIA";"1";"PL.VICARIO FERRER,5";"21";"46017";;;;"4";"9";"13";;;"3";"LUNES";"23";"66";"39";"50";"32";"319";;;;;;;;;;"1400";;;"4000";"1474";;;;;"3609";"10483";"2447";"2800";"3906";"357";"1077";"1097";"600";;"332";;;;;;"540";"13156";;"1";"219";"2013"
"NUESTRA SEÑORA DE GRACIA";"313182";"NUESTRA SEÑORA DE GRACIA";"13";"VALENCIA - LA TORRE";"3";"AVD.REAL DE MADRID,16";"21";"46017";"963772432";;;"2";"6";"8";;;"3";"MARTES DE 18 A 19,30H";"24";"114";"46";"92";"55";"350";"200";;;;;;;"1674";;"480";;;"18000";"12898";;;;;;"33052";"15631";"1999";;"761";"6895";"2352";;;"531";;;;;;;"28169";;"1";"219";"2013"
"NTRA.SRA.DESAMPARADOS Y SAN ISIDRO";"104183";"NTRA.SRA.DESAMPARADOS Y SAN ISIDRO";"4";"VALENCIA (Bº San Isidro)";"1";"SAN ISIDRO,2";"21";"46014";"618530112";"RAMONRODRIGUEZ1@HOTMIAL-COM,";;"1";"3";"4";;;;"MIERCOLES DE 19,30 A 21H";"4";"20";"14";"10";"21";"77";"19";;;;;;"1";"2400";;;;;;;;;;;"3000";"5400";;;"4800";;;;;;;;;;"1000";;;"5800";;"1";"219";"2013"
"SAGRADO CORAZON DE JESUS";"104184";"SAGRADO CORAZON DE JESUS";"4";"VALENCIA";"1";"PL.PATRAIX,21";"21";"46018";"963805430";;;"6";"5";"11";"1";;"1";"MARTES DE 18 A 19,30H";"10";"48";"36";"12";"6";"195";"58";"3";;"1";;;;;;"3817";"674";"576";"2349";;;;;"3150";"1944";"12510";"2268";;"8759";"1863";;;;;;"674";"576";;;;;"14140";;"1";"219";"2013"
"SAN JORGE MARTIR";"104185";"SAN JORGE MARTIR";"4";"VALENCIA";"1";"AVD.PIANISTA ITURBI,26";"21";"46007";"963420073";;;"3";"9";"12";;;;"MIERCOLES DE 18,30 A 19,30H";"12";"48";"41";"19";"33";"150";"35";"2";;;;;;"2219";;;;;;;;;;;"1500";"3719";"697";;"2673";"14";"36";"155";;;"26";;;;;;"355";"3956";;"1";"219";"2013"
"SAN MARCELINO OBISPO";"104186";"SAN MARCELINO OBISPO";"4";"VALENCIA";"1";"ARZOBISPO OLAECHEA,29";"21";"46017";"963770053";"SANMARCELINO@HOTMAIL.COM";;"3";"6";"9";;;"1";"LUNES MIERCOLES DE 18,30 A 20H";"24";"83";"43";"64";"43";"318";"184";"25";;;;;;"2116";;"2252";"627";"862";"8000";"5479";;;;;"7231";"26567";"11856";"857";"6417";"1621";"1460";"1310";;"59";"131";"800";"862";;;;"2021";"27394";;;"219";"2013"
"SANTA MARIA DE JESUS";"104187";"SANTA MARIA DE JESUS";"4";"VALENCIA";"1";"PL.JESUS,9";"21";"46007";"963251678";"JOSEMARCOSMARCH@HOTMAIL.COM";;"4";"6";"10";;;"3";"MARTES Y JUEVES DE 17,30 A 20H";"31";"89";"85";"35";"56";"374";"141";;;;;;"1";"5759";;"7092";"801";;"6500";"4192";;;;;"2";"24346";"4571";"1464";"6950";"353";"4637";;;;;;;;;;"867";"18842";;"1";"219";"2013"
"SANTA TERESA DE JESUS";"104188";"SANTA TERESA DE JESUS";"4";"VALENCIA";"1";"AVD.GASPAR AGUILAR,92";"21";"46017";;;;"11";"10";"21";"1";"2";"4";"MARTES Y VIERNES DE 17,30 A 19,30H";"42";"145";"105";"82";"33";"587";;"3";;;;"1";;"2000";;"500";"300";"800";"120";"930";;;"300";;;"4950";"500";"200";;"300";"200";;"1300";;"300";"200";"800";;;"300";;"4100";;"1";"219";"2013"
"CRISTO SACERDOTE";"102190";"CRISTO SACERDOTE";"2";"VALENCIA";"1";"JUAN RAMON JIMENEZ,79";"21";"46026";"963342967";;;"4";"8";"12";;"1";;"MIERCOLES DE 18 ,30 A 20H";"23";"40";"14";"49";"20";"130";"14";"2";"1";;;;;"1060";;"1653";;;;;;;;;;"2713";"300";"177";;"80";;"60";"1650";;;"295";;;"501";;;"3063";;"1";"219";"2013"
"EPIFANIA DEL SEÑOR Y SANTO TOMÁS DE VILLANUEVA";"102191";"EPIFANIA DEL SEÑOR Y SANTO TOMÁS DE VILLANUEVA";"2";"VALENCIA";"1";"MONTICHELVO,18-20";"21";"46006";"963343441";"EPIFANIASANTOTOMAS@ONO.COM";;"9";"16";"25";;;"2";"MIERCOLES Y JUEVES A LAS 18H";"57";"217";"134";"140";"113";"676";"343";"3";;;;;"1";"3248";;"2130";"790";"714";"6000";;;;;;;"12882";"4975";"3740";;"299";"440";"230";"1000";;"745";"500";"740";;;;;"12669";;;"219";"2013"
"JESUS MAESTRO";"102192";"JESUS MAESTRO";"2";"VALENCIA";"1";"ESCULTOR JOSE CAPUZ,8";"21";"46006";"963731417";;;"5";"8";"13";;;"3";"LUNES DE 17 A 20H";"32";"131";"127";"36";"35";"423";"156";;;;;"1";;"4130";;"5485";;;;"7869";;;;;;"17484";"5060";"3390";;"695";"257";"5220";;;"122";;;;;;;"14744";;"1";"219";"2013"
"MARIA AUXILIADORA";"102193";"MARIA AUXILIADORA";"2";"VALENCIA";"1";"AVD.DE LA PLATA, 8";"21";"46013";"963331661";"PARROQUIA.NA.VALENCIA@SALESIANOS.COM";;"5";"9";"14";;"1";;"MARTES DE 10 A 12
MIERCOLES DE 18 A 20H";"33";"78";"85";"26";"31";"360";"250";;"1";;;;"1";"3925";;"1835";"557";;"950";;"6000";;;"1320";"4700";"19287";"9378";"4214";"1106";;"436";"1265";"1104";"1192";;;;;;;"1692";"20387";;"1";"219";"2013"
"NUESTRA SEÑORA DE MONSERRAT";"102194";"NUESTRA SEÑORA DE MONSERRAT";"2";"VALENCIA";"1";"CARRERA DE MALILLA,79";"21";"46026";"963749836";"parroquiamonserratvalencia@hotmail.com";;"2";"7";;;;"1";"MARTES DE 17 A 19H";"31";"8";"23";"16";"12";"140";"24";"4";;;;;;"450";;;"268";"1400";"410";;;;;;;"2528";"1100";;;"180";"210";"500";;;;"268";;;;;"270";"2528";;"1";"219";"2013"
"NUESTRA SEÑORA DE MONTEOLIVETE";"102195";"NUESTRA SEÑORA DE MONTEOLIVETE";"2";"VALENCIA";"1";"PL.MONTEOLIVETE,6";"21";"46006";"963746542";"JAVIER98@YAHOO.ES";;"4";"17";"21";"2";"2";"2";"LUNES DE 17 A 20H";"66";"155";"55";"166";"78";"600";"200";"7";"1";;;;;;"3707";"4720";"179";;"2500";;;"7771";;;;"18877";"10385";;"6500";"1997";"543";"334";"533";;;"179";;;;;"1630";"22101";;"1";"219";"2013"
"SAN LUIS BERTRAN";"102196";"SAN LUIS BERTRAN";"2";"VALENCIA";"1";"PL.IGLESIA  5";"21";"46013";"963738641";;;"3";"9";"12";;"1";;"MIERCOLES DE 18 A 20H";"20";"33";"38";"17";"26";"153";"98";"7";;;;;"1";;"2068";"146";"673";;"8000";;"2700";;;;;"13587";"6780";"664";;"82";"3630";;"2700";;;"150";;;;;"500";"14506";;"1";"219";"2013"
"SAN MATEO APOSTOL Y EVANGELISTA";"102197";"SAN MATEO APOSTOL Y EVANGELISTA";"2";"VALENCIA";"1";"AVD.DR.WAKSMAN,22";"21";"46006";"963330611";;;"3";"7";"10";;"10";"2";"MIERCOLES DE 17 A 19H";"5";"80";"70";"15";"40";"382";"180";"2";"1";;;;;;"404";"2451";"2519";;"6000";;;;;;"1707";"13081";"6701";"862";;"242";"160";"1455";"450";;"7";;;;;;"2222";"12099";;"1";"219";"2013"
"SANTA CECILIA";"102198";"SANTA CECILIA";"2";"VALENCIA";"1";"JUAN RAMON JIMENEZ,24";"21";"46006";"963742562";;;"1";"7";"8";;;"3";"JUEVES DE 17,30 A 19H";"32";"51";"47";"34";"25";"160";"49";"12";;;;;;;;"100";"505";"485";"3040";"2056";"1472";;;;"270";"7928";"3040";"440";;;"1784";;;;;"505";"485";;"1472";;;"7726";;"1";"219";"2013"
"SANTA MARTA";"102200";"SANTA MARTA";"2";"VALENCIA";"1";"ANGEL VILLENA,11";"21";"46013";"963731354";;;"21";"55";"76";;"5";;"LUNES, MARTES Y MIERCOLES DE 16,30 A 19H";"57";"313";"142";"228";"126";"1110";"595";"9";;;;"1";"1";;"600";"21160";"90";"300";"26000";"5719";"13000";;;;"11600";"78469";"18355";"22904";;"220";;"12000";"24600";;;"90";"300";;;;;"78469";;"1";"219";"2013"
"PURISIMA CONCEPCION";"519272";"PURISIMA CONCEPCION";"19";"PEDRALBA";"5";"IGLESIA,2";"18";"46164";"962707019";;;"2";"3";"5";"1";;"1";"QUINCENAL.SABADOS DE 12 A 15H";"22";"17";"11";"28";"18";"121";"51";;;;;;"1";"2026";;"795";;;;;;"40";;;"377";"3238";"4699";;;;;"67";;;;;;;;;;"4766";;;"219";"2013"
"SAN BARTOLOME APOSTOL";"414203";"SAN BARTOLOME APOSTOL";"14";"ALFARA DEL PATRIARCA";"4";"PL.IGLESIA,S/N";"7";"46115";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"219";
"SAN ISIDRO LABRADOR";"414204";"SAN ISIDRO LABRADOR";"14";"MONCADA-SAN ISIDRO DE BENAGEBER";"4";"OLMOS,7";"7";"46113";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"219";
"SAN JAIME APOSTOL";"414205";"SAN JAIME APOSTOL";"14";"MONCADA";"4";"MAYOR,46";"7";"46113";"961391921";;;"14";"27";"41";;;"8";"JUEVES DE 10,30 A 13 Y DE 16 A 18H";"39";"65";"18";"86";"65";"327";"104";"6";;;;;;;"2000";"12000";;;"5000";;;"6000";;;"55337";"80337";"5000";;"78695";;;;;;"1500";;;;;"1650";;"86845";;;"219";"2013"
"SAN JOSE";"414206";"SAN JOSE";"14";"MONCADA";"4";"SAN VICENTE,27";"7";"46113";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"219";
"SAN SEBASTIAN MARTIR";"414207";"SAN SEBASTIAN MARTIR";"14";"ROCAFORT";"4";"TRASAGRARIO,1";"7";"46111";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"219";
"SANTA BARBARA VIRGEN Y MARTIR";"414208";"SANTA BARBARA VIRGEN Y MARTIR";"14";"ROCAFORT";"4";"URBANIZACION SANTA BARBARA";"7";"46111";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"219";
"ASUNCION Y SANTA BARBARA";"414209";"ASUNCION Y SANTA BARBARA";"14";"VALENCIA-MASARROJOS";"4";"PL.MARTIRES,S/N";"21";"46112";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"219";
"SAN BERNARDO MARTIR";"414210";"SAN BERNARDO MARTIR";"14";"VALENCIA-POBLE NOU";"4";"CAMINO DE MONCADA,188";"21";"460285";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"219";
"SANTA ANA";"414211";"SANTA ANA";"14";"VALENCIA-BORBOTO";"4";"PL.PATRONA,1";"21";"46016";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"219";
"SANTA MARIA MAGDALENA";"414212";"SANTA MARIA MAGDALENA";"14";"VALENCIA-BENIFARAIG";"4";"PL.EL GRECO,1";"21";"46015";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"219";
"SANTOS ABDON Y SENEN";"414213";"SANTOS ABDON Y SENEN";"14";"VALENCIA.CARPESA";"4";"CARMELO VICENT,4";"21";"46016";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"219";
"SAN HONORATO ARZOBISPO DE ARLES";"414214";"SAN HONORATO ARZOBISPO DE ARLES";"14";"VINALESA";"4";"MAYOR,16";"7";"46114";"961490639";"ANTONIO.LOPEZ@UV.ES";;"3";"7";;;;;"MARTES DE 17 A 18H CADA 15 DIAS";"6";"31";"5";"32";"7";"111";"35";;;"1";;;;;"2515";"815";"1920";;"2756";;;;;"150";"2860";"11016";;"4124";;;"75";;"235";;"344";"1920";"500";;"1003";;"2756";"10957";;;"219";"2013"
"NUESTRA SEÑORA DE LA ASUNCION";"415215";"NUESTRA SEÑORA DE LA ASUNCION";"15";"ALBORAIA";"4";"ABADIA,2";"7";"46120";"961856382";"PAROQUIA@PARRROQUIAALBORAYA.COM";;"5";"31";"36";;;"9";"MARTES DE 19 A 21H";"42";"123";"68";"88";"38";"495";"165";"24";;;;;"1";"16615";"15545";"1370";;"1940";;;"1000";;;;;"36470";"150";;"33686";;;;;;"3818";"1370";"1940";;;;;"40964";;;"219";"2013"
"SANTISIMO SACRAMENTO";"415216";"SANTISIMO SACRAMENTO";"15";"ALMASSERA";"4";"VICENTE LLADRO,8";"7";"46132";"961853241";"VICRMIXC@GMAIL.COM";;"3";"19";"22";;;"2";"2º JUEVES AL MES DE 17 A 19,30H";"28";"56";"29";"55";"19";"253";"71";"1";"1";;"1";"1";"1";"2682";;"6861";"1792";;;;;;;;;"11335";"360";"15543";;;;;;;"219";"1791";;;;;;"17913";;;"219";"2013"
"NUESTRA SEÑORA DEL PILAR y  NUESTRA SEÑORA DEL PILAR";"415217";"NUESTRA SEÑORA DEL PILAR y  NUESTRA SEÑORA DEL PILAR";"15";"BONREPOS I MIRAMBELL";"4";"MAYOR,1";"7";"46131";"961854416";;;"1";"6";"7";;;;"LUNES Y MIÉRCOLES DE  15,30 a 19";"21";"51";"21";"52";"28";"224";"77";"10";;;"1";;;;"624";"1020";;;"600";"6024";;"2000";;"790";"3200";"14258";"5964";"420";"2524";;"4660";;;;"165";"545";;;;;"685";"14963";;;"219";"2013"
"NUESTRA SEÑORA DE LA ASUNCION";"415218";"NUESTRA SEÑORA DE LA ASUNCION";"15";"FOIOS";"4";"PL.DEL POBLE,S/N";"7";"46134";"961491685";;;"1";"12";"13";;;"3";"1º T 3º JUEVES DE MES DE 18 A 20H";"32";"60";"49";"42";"32";;;;;;;"1";"1";"574";;"1800";"1091";;"1415";"1161";;;;"3600";"2044";"11685";"2720";"6845";;"226";;"50";"100";;"234";"1091";;;;;"72";"11338";;;"219";"2013"
"SANTOS JUANES";"415219";"SANTOS JUANES";"15";"MELIANA";"4";"SAN JUAN,7";"7";"46133";"961490452";"MPPM24@YAHOO.ES";;"10";"29";"39";;"1";"5";"MARTES Y MIERCOLES";"2";"38";"17";"23";"39";"505";"106";"3";"1";;"1";;;"3238";;"8300";;;;;;"3600";"1000";;;"16138";"565";"8964";;"1792";"114";"89";;;"138";"407";"1888";"100";;;;"14057";;;"219";"2013"
"NUESTRA SEÑORA DE LA MISERICORDIA";"415220";"NUESTRA SEÑORA DE LA MISERICORDIA";"15";"MELIAnA(Roca-Cuyper)";"4";"SAN ISIDRO,1";"7";"46133";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"219";
"SANTISIMA TRINIDAD";"415221";"SANTISIMA TRINIDAD";"15";"TABERNES BLANQUES";"4";"9 DE OCTUBRE,2";"7";"46016";"961854775";"TRINIBLANCA@HOTMAiL.COM";;"8";"29";"37";;;"9";"LUNES DE 18 A 20H";"22";"97";"48";"71";"43";"302";"134";"3";;;;;"1";"2242";"3481";"9734";"705";;;;"5200";"10000";;;;"31362";"1810";"993";"13474";"567";"1122";"680";"985";"918";"196";"705";;;"100";;"6317";"27867";;;"219";"2013"
"NUESTRA SEÑORA DE LOS DESAMPARADOS";"414223";"NUESTRA SEÑORA DE LOS DESAMPARADOS";"14";"BETERA";"4";"PINTOR SOROLLA,2";"2";"46117";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"219";
"PURISIMA CONCEPCION";"414224";"PURISIMA CONCEPCION";"14";"BETERA";"4";"IGLESIA,2";"2";"46117";"961600024";;;"5";"26";"31";;;"2";"JUEVES DE 17,30 A 19H";"41";"80";"48";"73";"60";"341";"121";"10";;;;"1";"1";"2242";;"4793";;;"2291";"920";;;;"2289";"5926";"18461";"2528";"7920";;"946";"285";"1242";;;"2445";;;;;;"2017";"17383";;;"219";"2013"
"NUESTRA SEÑORA DEL CARMEN";"518225";"NUESTRA SEÑORA DEL CARMEN";"18";"L'ELIANA";"5";"CRISTO DEL CONSUELO,8";"2";"46183";"961656109";"PARROQUIAELIANA@YAHOO.ES";;"5";"12";"17";;;"5";"MIERCOLES DE 16 A 19H";"19";"64";"46";"37";"57";"206";"63";"8";;"1";"1";"1";;"1200";"3827";"3056";"900";;;"903";;;;;"4224";"14110";"388";"900";;"1034";"2604";"1363";;;"1326";"1200";"1000";;"1000";"1426";;"12241";;;"219";"2013"
"NUESTRA SEÑORA DE LA ENCARNACION";"414226";"NUESTRA SEÑORA DE LA ENCARNACION";"14";"NAQUERA";"4";"PL.IGLESIA,S/N.";"2";"46118";"961680028";;;"5";"8";"13";;;"4";;"35";"28";"16";"57";"43";"98";"35";;;;;;;;;"1159";;;;;;"8435";;;"317";"9911";"411";"8738";;;;"333";;;"660";;;;;;;"10142";;;"219";"2013"
